"SourceFile","identifiant","type_formation","filiere","date_diplome","emploi_formation","satisfaction_formation","alternance","recommandation_polytech","ig_avantage_double_competence","remuneration_annuelle_brute","prime","remuneration_prime"
"1"," Trop de charge de travail (entreprise en difficulté - sans perspective d'amélioration à court terme) et pas de reconnaissance ","","",NA,"",NA,"","","",NA,"",NA
"1","1783039467983410","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2016,"oui",4,"","Oui","",27000,"Non",27000
"1","1782592354372700","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2016,"non",4,"","Oui","",34000,"Oui",50000
"1","1788516592358550","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2016,"oui",3,"","Oui","",28800,"Oui",31200
"1","1888516386336950","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2016,"oui",4,"","","",25920,"Non",25920
"1","1775257602685030","Sous contrat d'apprentissage","Génie Biologique et Agroalimentaires (GBA)",2016,"non",4,"","Oui","",36000,"Oui",40000
"1","1899261169113090","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2016,"oui",3,"","Oui","",NA,"Oui",NA
"1","1776615758564050","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2016,"oui",5,"","Oui","",32000,"Oui",35000
"1","1767472951760580","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"",3,"","Oui","",NA,"",NA
"1","1782649831753210","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",4,"","Oui","",32500,"Oui",35000
"1","1794779518200290","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"non",4,"","Oui","",38000,"Oui",40000
"1","1783679026895520","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",3,"","Oui","",26000,"Oui",30000
"1","1889196166142850","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",4,"","Oui","",30000,"Oui",30000
"1","1783551791493310","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",4,"","Oui","",35000,"Non",35000
"1","1776106803647000","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",4,"","Oui","",47000,"Oui",51000
"1","1776019459092900","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"",5,"","Oui","",NA,"",NA
"1","1769007981249560","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",4,"","Oui","",31200,"Oui",33300
"1","1899292521893160","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",4,"","Oui","",34000,"Oui",34000
"1","1768183605485420","Formation initiale (hors apprentissage)","Energétique - énergies Renouvelables (EnR)",2016,"oui",5,"","","",30000,"Non",30000
"1","1776167203832290","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"",2,"","Oui","NON",NA,"",NA
"1","1767911676181750","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"oui",4,"","Oui","OUI",29500,"Oui",31000
"1","1788516703736650","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"",4,"non","Oui","NON",NA,"",NA
"1","1783101037010870","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"non",2,"","Oui","OUI",34100,"Oui",35000
"1","1798760223232460","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"oui",4,"","Oui","",40000,"Non",40000
"1","1788692464408060","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"oui",4,"","Oui","OUI",33700,"Oui",34000
"1","1782332406941580","Sous contrat de professionalisation","Informatique et Gestion (IG)",2016,"oui",4,"","Oui","OUI",30000,"Oui",34000
"1","1782520390078810","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"",4,"","Oui","OUI",NA,"",NA
"1","1783049615948640","Sous contrat de professionalisation","Informatique et Gestion (IG)",2016,"oui",2,"","Oui","NON",33960,"Oui",38290
"1","1783303729803930","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"oui",4,"","Oui","OUI",40000,"Oui",40000
"1","1789034154590610","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"oui",4,"","","OUI",35500,"Oui",39000
"1","1968316585347690","Formation initiale (hors apprentissage)","Informatique et Gestion (IG)",2016,"",4,"","Oui","OUI",30000,"Oui",31000
"1","1767833505076640","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"oui",5,"","Oui","",34375,"Non",34375
"1","1789138953630590","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"oui",3,"","Oui","",30920,"Oui",37000
"1","1789471904307210","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"",4,"","Oui","",NA,"",NA
"1","1788913345952660","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"",4,"non","Oui","",NA,"",NA
"1","1782520393975250","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"oui",4,"","","",36000,"Oui",36500
"1","1783298117244180","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"",5,"","Oui","",NA,"",NA
"1","1982421121197550","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2016,"non",4,"","Oui","",31500,"Oui",34125
"1","1776167054266030","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"",4,"","Oui","",NA,"",NA
"1","1768453717959910","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",4,"","Oui","",24000,"Non",24000
"1","1788460092295210","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",4,"","Oui","",30000,"Oui",33000
"1","1894034281641740","Sous contrat de professionalisation","Matériaux (MAT)",2016,"",5,"","Oui","OUI",NA,"",NA
"1","1757379921945330","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"",4,"","Oui","",NA,"",NA
"1","1783100974718700","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"non",3,"","Oui","",28800,"Non",28800
"1","1783551664640630","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",4,"","Oui","",33600,"Non",33600
"1","1802846052462780","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"",5,"","Oui","",NA,"",NA
"1","1776615827742480","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",4,"","Oui","",32000,"Oui",32000
"1","1782714740771440","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"non",5,"","Oui","",34000,"Oui",34000
"1","1783101109430220","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",5,"","Oui","",NA,"",NA
"1","1788460157927700","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",4,"","Oui","",26400,"Non",26400
"1","1794637799468610","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"",5,"","Oui","",NA,"",NA
"1","1799240276425990","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"",3,"","","",NA,"",NA
"1","1788412944803850","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"oui",4,"","Oui","",34200,"Non",34200
"1","1788639812991470","Formation initiale (hors apprentissage)","Matériaux (MAT)",2016,"non",4,"","Oui","",31000,"Oui",32000
"1","1782520512834500","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2016,"oui",4,"","Oui","",35000,"Oui",35000
"1","1789139230267320","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2016,"oui",5,"","Oui","",33600,"Oui",37000
